,Unnamed: 0,Unnamed: 0.1,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,won
219,998,999,"GAULRAPP, GEORGE WALTER",IL,16.0,DEM,2010,0.397972165,24.3,DEM,0.360796874,0,0.13033,1.0,0.54,True,4.0,52903.0,53,100.00,68.64286,73357.0,66924.31,0
222,1009,1010,"SHIMKUS, JOHN M",IL,19.0,REP,2010,0.525171476,20.7,DEM,0.644616891,1,0.06056,1.0,0.54,False,,,6,85.34,67.9,1845127.56,1852867.05,1
224,1019,1020,"VISCLOSKY, PETER J",IN,1.0,DEM,2010,0.531609639,19.7,REP,0.709001425,1,0.28498,1.0,0.45,True,4.0,47613.0,55,100.00,68.2,891337.53,1387951.05,1
229,1059,1061,"CRAWFORD, TIM",IN,5.0,DEM,2010,0.627385369,35.1,REP,0.344512961,0,0.09837,1.0,0.45,True,0.0,56440.0,21,60.88,77.8,0.0,0.0,0
232,1080,1080,"SCOTT, MARVIN B",IN,7.0,REP,2010,0.445192308,22.8,REP,0.34920976,0,0.4189600000000001,1.0,0.45,False,4.0,34139.0,172,44.34,74.44762,228901.04,228105.56,0
234,1091,1089,"VAN HAAFTEN, WILLIAM TRENT",IN,8.0,DEM,2010,0.496396517,17.8,REP,0.64740172,0,0.07495,1.0,0.45,True,4.0,42843.0,500,,72.9,762358.58,762358.58,0
236,1109,1115,"HUELSKAMP, TIMOTHY A",KS,1.0,REP,2010,0.359192993,20.0,DEM,0.818804932,0,0.09922,1.0,0.42,False,0.0,43367.0,21,34.82,74.58421,1185350.41,1252546.71,1
239,1117,1121,"JENKINS, LYNN",KS,2.0,REP,2010,0.537680708,26.8,DEM,0.506111133,1,0.1239,0.0,0.42,False,4.0,45992.0,164,57.15,73.08095,1471057.18,1170132.52,1
240,1131,1139,"MOORE, STEPHENE ANN",KS,3.0,DEM,2010,0.288050615,43.5,DEM,0.564404305,0,0.17726,0.0,0.42,True,0.0,60507.0,500,78.06,73.0,965853.08,965853.08,0
243,1150,1151,"HATCHETT, CHARLES KENDALL",KY,1.0,DEM,2010,0.256719599,13.9,REP,0.356499245,0,0.10058,1.0,0.4,True,4.0,36752.0,23,100.00,69.7,0.0,0.0,0
244,1151,1152,"WHITFIELD, ED",KY,1.0,REP,2010,0.256719599,13.9,REP,0.643482691,1,0.10058,1.0,0.4,False,4.0,36752.0,40,100.00,69.7,1259408.75,859805.36,1
