Year,Candidate Name,District/State,Vote Total
2016,D G. Driskell,7 michigan,"133,697"
2016,L K. Proctor,7 michigan,"16,402"
2016,R Winner M. Bishop (i),8 michigan,"205,617"
2016,D S. Shkreli,8 michigan,"143,775"
2016,L J. Wood,8 michigan,"9,615"
2016,G M. Green,8 michigan,"5,677"
2016,N J. Burgess,8 michigan,"2,250"
2016,D Winner S. Levin (i),9 michigan,"199,620"
2016,R C. Morse,9 michigan,"128,907"
2016,L M. Orlando,9 michigan,"9,562"
2016,G J. McDermott,9 michigan,"6,612"
2016,R Winner P. Mitchell,10 michigan,"214,164"
2016,D F. Accavitti,10 michigan,"109,875"
2016,L L. Gioia,10 michigan,"10,582"
2016,G B. Nofs,10 michigan,"5,113"
2016,R Winner D. Trott (i),11 michigan,"200,787"
2016,D A. Kumar,11 michigan,"152,359"
2016,I K. Bentivolio,11 michigan,"16,597"
2016,L J. Osment,11 michigan,"9,535"
2016,D Winner D. Dingell (i),12 michigan,"210,922"
2016,R J. Jones,12 michigan,"95,823"
2016,O G. Walkowicz,12 michigan,"9,177"
2016,L T. Bagwell,12 michigan,"7,478"
2016,G D. Calewarts,12 michigan,"4,370"
2016,D Winner J. Conyers (i),13 michigan,"197,173"
2016,R J. Gorman,13 michigan,"40,483"
2016,L T. Hayden,13 michigan,"9,600"
2016,O S. Johnson,13 michigan,"8,778"
2016,D Winner B. Lawrence (i),14 michigan,"244,220"
2016,R H. Klausner,14 michigan,"58,111"
2016,L G. Creswell,14 michigan,"4,898"
2016,G M. Squier,14 michigan,"3,851"
2016,D Winner T. Walz (i),1 minnesota,"169,076"
2016,R J. Hagedorn,1 minnesota,"166,527"
2016,R Winner J. Lewis,2 minnesota,"174,030"
2016,D A. Craig,2 minnesota,"167,071"
2016,I P. Overby,2 minnesota,"28,845"
2016,R Winner E. Paulsen (i),3 minnesota,"223,075"
2016,D T. Bonoff,3 minnesota,"169,238"
2016,D Winner B. McCollum (i),4 minnesota,"202,558"
2016,R G. Ryan,4 minnesota,"120,871"
2016,O S. Pendergast Sindt,4 minnesota,"27,109"
2016,D Winner K. Ellison (i),5 minnesota,"249,957"
2016,R F. Drake,5 minnesota,"80,660"
2016,O D. Schuller,5 minnesota,"30,759"
2016,R Winner T. Emmer (i),6 minnesota,"235,384"
2016,D D. Snyder,6 minnesota,"123,012"
2016,D Winner C. Peterson (i),7 minnesota,"173,571"
2016,R D. Hughes,7 minnesota,"156,950"
2016,D Winner R. Nolan (i),8 minnesota,"179,106"
2016,R S. Mills,8 minnesota,"177,095"
2016,R Winner T. Kelly (i),1 mississippi,"203,142"
2016,D J. Owens,1 mississippi,"82,133"
2016,L C. Wilson,1 mississippi,"6,070"
2016,R C. Toole,1 mississippi,"3,742"
2016,D Winner B. Thompson (i),2 mississippi,"181,108"
2016,R J. Bouie,2 mississippi,"79,773"
2016,I T. Ray,2 mississippi,"6,622"
2016,R J. McLeod,2 mississippi,"3,623"
2016,R Winner G. Harper (i),3 mississippi,"201,280"
2016,D D. Quinn,3 mississippi,"91,992"
2016,O R. Gerrard,3 mississippi,"8,434"
2016,R L. Sheets,3 mississippi,"2,020"
2016,R Winner S. Palazzo (i),4 mississippi,"174,783"
2016,D M. Gladney,4 mississippi,"74,176"
2016,L R. McCluskey,4 mississippi,"14,212"
2016,R S. O'Hara,4 mississippi,"5,063"
2016,D Winner L. Clay (i),1 missouri,"231,604"
2016,R S. Bailey,1 missouri,"61,252"
2016,L R. Cunningham,1 missouri,"13,954"
